delay_ms,cond,seed,rms,p50,p90,p99,max,jerk
800,P3,1,13.434058266991057,10.3504559473934,22.156796996268024,24.13403413700321,31.14451777296236,15762.158264025451
800,P0,2,15.838272632902976,13.776968096302204,23.789547779445616,29.234159229085737,37.324798440354854,81685.15185714366
800,P1,2,15.490708689349544,11.454166194487584,23.964900025346996,30.98826636657394,34.74627021741222,132593.64480218154
800,P2,2,12.60992378873882,10.282943254573718,19.735880150025935,22.27575059521492,30.24788995399527,14632.918840553975
800,P3,2,13.532637553624204,10.741826791600104,21.304609273740507,23.886549525588876,30.81403438293806,39186.98527729761
800,P0,3,15.93849322345296,12.615176451413134,25.515703091922514,30.85923329623812,36.70083779902431,103627.86825618667
800,P1,3,17.05419987650051,12.942984694368311,27.396083000250353,32.22047742948457,38.01621411675944,91159.17859279904
800,P2,3,12.381168407544976,10.206541994991255,19.236254059110124,21.583914211780158,29.49116670135203,18807.786287361683
800,P3,3,13.20963754017504,10.557389583647586,21.466197827482144,23.841157378184835,30.336064877992968,27823.10600104711
800,P0,4,16.265748575867633,12.195605544912278,28.155498498116756,31.75354968825026,35.775570892241205,98102.93300742353
800,P1,4,15.301787236095883,12.500986490734064,24.598412980249538,28.459228701727927,33.45289592197557,141520.46879489344
800,P2,4,12.275170975436334,10.547999952524734,18.664985391326457,21.311593633388295,28.23197578598588,18403.61843360077
800,P3,4,14.128435782021489,10.334700900124739,23.752186691466534,25.43282444918906,31.082520542833564,48913.95669662809
