cond,seed,delay_ms,jitter_ms,p_drop,rms,p50,p90,p99,max,jerk
P1,0,100.0,200.0,0.0,2.3927847123272272,1.3953100438161812,3.6199863146287847,7.405290544401917,10.02638873092944,38390.422011366296
P2,0,100.0,200.0,0.0,3.2018108847563336,1.9179394268108798,4.994970174587981,10.062199213566217,13.778239018672366,95202.8125391965
P3,0,100.0,200.0,0.0,3.3528393793225884,1.8513263560356232,5.1090018327851725,10.984438072721838,14.55310570387661,111809.6447893262
P0,1,100.0,200.0,0.0,4.029109838974743,2.2314586310038798,6.767742033653988,12.129410637673297,15.638255046104746,57717.931927335645
P1,1,100.0,200.0,0.0,3.3224139698540895,1.9743849291537903,4.842148764201956,9.814319876738617,15.108704578594626,38995.864335566206
P2,1,100.0,200.0,0.0,4.591623256453011,2.143627027771719,7.5926970418784,15.490641900669312,19.953886943302678,78836.29347142576
P3,1,100.0,200.0,0.0,3.7772982440718046,2.562547665812128,5.847141591545243,11.073494749833216,14.03991750532849,108567.63310608205
P0,2,100.0,200.0,0.0,3.8047472314919326,2.6938437818484715,5.7077268476343805,10.662982329502006,13.476656989314236,50871.06871802115
P1,2,100.0,200.0,0.0,3.149086800740728,2.036894475246522,5.106322652877107,9.17496118012202,15.279833127063569,46426.56884480782
P2,2,100.0,200.0,0.0,3.6119135073229347,1.9339259190409546,6.393084944235629,10.60414782860405,14.010704188470868,60887.90242707845
P3,2,100.0,200.0,0.0,5.256353387610226,2.7828696326372246,9.23654593204798,13.975071848780937,15.780556052611587,143938.84678129226
P0,3,100.0,200.0,0.0,4.198078939557768,2.3806345741054478,6.815384228428059,13.65423553193943,18.44467294632628,75649.38944652212
P1,3,100.0,200.0,0.0,2.652913590980568,1.8235631390019431,3.9588470322432983,7.307508277339257,11.54895808793836,38083.79420701513
P2,3,100.0,200.0,0.0,3.4626841487670816,1.886580779029624,5.916575453784304,10.66913948128746,14.518806699300583,68221.43968245004
P3,3,100.0,200.0,0.0,4.191182056685181,2.6411882088189507,6.504885631802812,12.119361728902746,13.97649150963855,109836.32695465
P0,4,100.0,200.0,0.0,4.347785553653009,2.7277394059931623,7.263542168263096,11.493100598229631,15.96835178309108,56913.817927372096
P1,4,100.0,200.0,0.0,2.7654351543801248,1.611904994446012,4.652869749693759,7.859081576931492,12.12029563848968,52741.1102252076
P2,4,100.0,200.0,0.0,4.0009694435990335,3.4770578706472386,6.017491407463979,9.04614495782477,11.837279758039273,62612.55631316582
P3,4,100.0,200.0,0.0,4.39006397891303,2.195288653098397,7.109344532542489,12.768984272411293,15.975215870003822,103510.73382223654
